id;label;height;width;x;y;h_vg_color
1;Corporate Phased relationships;75555;20306;22879;94285;Money Market Account
2;Salad Web virtual;63340;10549;87146;45653;mint green e-business EXE
3;back-end;89609;35629;31800;90682;contextually-based
4;synergies copying;86073;30478;695;16465;Iraq Bedfordshire
5;Concrete 24/7 Directives;32320;21876;51879;55810;facilitate Tasty Concrete Chips Exclusive
6;Buckinghamshire capability zero tolerance;3688;26678;60956;97661;paradigms Home
7;Investor Public-key;14489;53093;48945;44778;Dominican Republic Credit Card Account Handmade
8;Ergonomic transmitter;36778;47030;63230;98342;deliver bypassing
9;hacking installation magenta;4077;85835;59089;32595;red firewall open-source
10;deposit Sausages;69093;39757;38673;51775;hacking Forint bandwidth
